label,horizon_months,awarding_agency_code,naics2,type_of_contract_pricing_code,value_quintile,n,mean,parent,shrunk
ceiling_growth_gt25,36,581,56,Z,1,1,1.0,0.13948480388101056,0.16724335859452635
ceiling_growth_gt25,36,073,33,J,2,1,0.0,0.22424232624906337,0.21700870282167423
ceiling_growth_gt25,36,031,51,J,1,1,1.0,0.13078589422734374,0.15882505892968748
ceiling_growth_gt25,36,091,54,Y,2,1,0.0,0.1428537908505289,0.13824560404889896
ceiling_growth_gt25,36,1601,92,J,0,1,0.0,0.3548909120415489,0.3434428181047247
ceiling_growth_gt25,36,013,51,Z,4,1,0.0,0.19275494068930313,0.18653703937674496
ceiling_growth_gt25,36,013,51,R,4,1,1.0,0.22501300520543216,0.25001258568267626
ceiling_growth_gt25,36,028,56,J,0,1,1.0,0.14557690522473113,0.17313894054006237
ceiling_growth_gt25,36,075,56,L,0,1,1.0,0.2931704794946153,0.3159714317689825
ceiling_growth_gt25,36,047,56,Z,4,1,0.0,0.3202106838538999,0.30988130695538696
ceiling_growth_gt25,36,070,32,J,4,1,1.0,0.10743104721595376,0.13622359407995524
ceiling_growth_gt25,36,070,61,U,4,1,0.0,0.14747627334047633,0.14271897420046098
ceiling_growth_gt25,36,024,54,Z,4,1,1.0,0.13442784203118527,0.16234952454630833
ceiling_growth_gt25,36,073,53,J,3,1,0.0,0.23894291579504776,0.23123507980165914
ceiling_growth_gt25,36,097,42,U,4,1,0.0,0.04368267001419084,0.042273551626636305
ceiling_growth_gt25,36,347,54,Z,2,1,1.0,0.21755578433801145,0.24279592032710787
ceiling_growth_gt25,36,083,54,J,3,1,0.0,0.14637778973715987,0.1416559255520902
ceiling_growth_gt25,36,036,23,K,4,1,0.0,0.07408122302690906,0.07169150615507329
ceiling_growth_gt25,36,014,51,U,2,1,0.0,0.16624895781101576,0.1608860882042088
ceiling_growth_gt25,36,075,32,U,1,1,0.0,0.20008944706214454,0.19363494876981732
ceiling_growth_gt25,36,089,51,U,3,1,0.0,0.22214774702530968,0.21498169066965453
ceiling_growth_gt25,36,013,42,J,4,1,0.0,0.12659778784163433,0.12251398823383967
ceiling_growth_gt25,36,027,42,J,2,1,0.0,0.16509070149330957,0.1597651949935254
ceiling_growth_gt25,36,3302,51,J,2,1,0.0,0.18844285069514363,0.18236404905981643
ceiling_growth_gt25,36,031,56,Y,2,1,0.0,0.09308472208122184,0.09008198911085985
ceiling_growth_gt25,36,1601,61,L,3,1,0.0,0.5793761510951005,0.5606865978339682
ceiling_growth_gt25,36,091,54,Z,4,1,0.0,0.15178215277868695,0.1468859543019551
ceiling_growth_gt25,36,086,48,J,4,1,0.0,0.21327394267077282,0.20639413806848983
ceiling_growth_gt25,36,514,23,J,0,1,1.0,0.30883007011424995,0.3311258743041129
ceiling_growth_gt25,36,012,53,J,2,1,0.0,0.019609872405108714,0.01897729587591166
ceiling_growth_gt25,36,097,54,V,1,1,1.0,0.27069848253132844,0.2942243379335437
ceiling_growth_gt25,36,012,62,J,0,1,0.0,0.023588982830703098,0.022828047900680416
ceiling_growth_gt25,36,019,21,J,0,1,0.0,0.23222360141001244,0.22473251749356044
ceiling_growth_gt25,36,049,81,J,0,1,1.0,0.1499931659910997,0.17741274128170936
ceiling_growth_gt25,36,071,51,J,1,1,0.0,0.26303048690456565,0.2545456324882893
ceiling_growth_gt25,36,089,33,U,4,1,0.0,0.09921875473247324,0.09601814974110313
ceiling_growth_gt25,36,068,49,J,4,1,0.0,0.09742447097460302,0.09428174610445454
ceiling_growth_gt25,36,097,56,Y,1,1,1.0,0.22131089368295923,0.2464298971125412
ceiling_growth_gt25,36,075,49,J,2,1,0.0,0.17954070651369766,0.17374907081970742
ceiling_growth_gt25,36,097,21,U,4,1,0.0,0.07059787433694575,0.06832052355188299
ceiling_growth_gt25,36,9566,48,J,1,1,0.0,0.10987674428669467,0.10633233318067227
ceiling_growth_gt25,36,1602,54,Z,3,1,1.0,0.27315804087319695,0.296604555683739
ceiling_growth_gt25,36,013,56,Z,2,1,1.0,0.20793051536645912,0.23348114390302496
ceiling_growth_gt25,36,071,56,Y,0,1,0.0,0.23485443126556171,0.22727848186989844
ceiling_growth_gt25,36,050,56,Y,4,1,0.0,0.2300025979053421,0.2225831592632343
ceiling_growth_gt25,36,014,22,Y,3,1,0.0,0.1655884448838663,0.16024688214567706
ceiling_growth_gt25,36,097,71,U,4,1,0.0,0.06388534166892607,0.061824524195734906
ceiling_growth_gt25,36,015,32,J,4,1,0.0,0.12827302866729604,0.12413518903286713
ceiling_growth_gt25,36,014,81,U,4,1,0.0,0.1080718555196446,0.10458566663191413
ceiling_growth_gt25,36,013,62,J,3,1,0.0,0.13848718882987046,0.13401986015793915
ceiling_growth_gt25,36,581,54,Z,1,1,0.0,0.08464172072210571,0.08191134263429585
ceiling_growth_gt25,36,013,33,Y,4,1,0.0,0.15796571775796234,0.15287004944318935
ceiling_growth_gt25,36,581,61,B,4,1,0.0,0.10375436733677475,0.10040745226139493
ceiling_growth_gt25,36,1602,56,J,1,1,1.0,0.17732687817914838,0.2038647208185307
ceiling_growth_gt25,36,031,48,J,3,1,0.0,0.1524237641936218,0.1475068685744727
ceiling_growth_gt25,36,012,22,J,4,1,0.0,0.0654996439008807,0.06338675216214261
ceiling_growth_gt25,36,015,49,J,0,1,0.0,0.13616494135848872,0.13177252389531166
ceiling_growth_gt25,36,097,42,S,1,1,0.0,0.045047753452134305,0.043594600114968685
ceiling_growth_gt25,36,069,49,J,3,1,0.0,0.2336304169333817,0.22609395187101455
ceiling_growth_gt25,36,1601,62,J,3,1,0.0,0.4575088250624379,0.4427504758668754
ceiling_growth_gt25,36,485,53,J,3,1,1.0,0.2763611987179451,0.29970438585607595
ceiling_growth_gt25,36,072,81,Z,1,1,1.0,0.36087038219796497,0.3814874666431919
ceiling_growth_gt25,36,012,54,S,2,1,0.0,0.22388707439567648,0.21666491070549335
ceiling_growth_gt25,36,015,56,K,4,1,0.0,0.21361222413342684,0.20672150722589694
ceiling_growth_gt25,36,072,32,J,3,1,1.0,0.1870233567519707,0.21324840975997167
ceiling_growth_gt25,36,070,33,K,4,1,0.0,0.2740773162021253,0.2652361124536696
ceiling_growth_gt25,36,1125,81,T,1,1,0.0,0.17876405340397583,0.17299747103610566
ceiling_growth_gt25,36,073,42,J,3,1,0.0,0.26870903772180066,0.2600410042469039
ceiling_growth_gt25,36,097,31,U,4,1,0.0,0.08593447734499567,0.08316239743064097
ceiling_growth_gt25,36,1100,92,J,4,1,1.0,0.20173181949244623,0.22748240596043184
ceiling_growth_gt25,36,1601,53,J,4,1,0.0,0.37102861934979653,0.3590599542094805
ceiling_growth_gt25,36,013,54,U,0,1,0.0,0.21511950158470233,0.20818016282390547
ceiling_growth_gt25,36,047,53,J,4,1,1.0,0.23008599225916537,0.25492192799274066
ceiling_growth_gt25,36,097,42,S,4,1,0.0,0.045047753452134305,0.043594600114968685
ceiling_growth_gt25,36,015,72,J,1,1,0.0,0.1543013747548327,0.1493239110530639
ceiling_growth_gt25,36,013,11,K,0,1,0.0,0.14295451750180177,0.13834308145335655
ceiling_growth_gt25,36,072,51,J,0,1,0.0,0.2085272637280663,0.2018005778013545
ceiling_growth_gt25,36,097,51,U,0,1,0.0,0.23825152124643403,0.23056598830300068
ceiling_growth_gt25,36,014,56,U,4,1,1.0,0.22825657420313059,0.25315152342238445
ceiling_growth_gt25,36,339,23,J,4,1,0.0,0.1886750874209252,0.18258879427831473
ceiling_growth_gt25,36,019,54,R,0,1,1.0,0.4629650582852937,0.48028876608254234
ceiling_growth_gt25,36,014,72,R,4,1,0.0,0.2218988372810177,0.2147408102719526
ceiling_growth_gt25,36,581,51,J,4,1,0.0,0.15791791700257865,0.15282379064765675
ceiling_growth_gt25,36,097,61,Z,3,1,0.0,0.12586710496290443,0.12180687577055267
ceiling_growth_gt25,36,072,92,U,3,1,0.0,0.21520152920814759,0.20825954439498154
ceiling_growth_gt25,36,070,11,J,4,1,1.0,0.24991367543802612,0.2741100084884123
ceiling_growth_gt25,36,072,22,U,4,1,0.0,0.14268581613185763,0.13808304786953962
ceiling_growth_gt25,36,097,49,Z,2,1,0.0,0.2083338302787828,0.20161338414075755
ceiling_growth_gt25,36,1601,61,V,1,1,0.0,0.577203054790512,0.5585836014101729
ceiling_growth_gt25,36,014,56,K,1,1,0.0,0.22112355625928276,0.21399053831543494
ceiling_growth_gt25,36,9553,48,J,2,1,0.0,0.11726233434129946,0.11347967839480592
ceiling_growth_gt25,36,097,33,Z,1,1,0.0,0.07529319970900726,0.07286438681516832
ceiling_growth_gt25,36,072,11,M,3,1,1.0,0.22302154314833983,0.24808536433710307
ceiling_growth_gt25,36,080,81,J,2,1,0.0,0.1327499927797035,0.12846773494810015
ceiling_growth_gt25,36,1601,54,S,4,1,1.0,0.30573943977262896,0.3281349417154474
ceiling_growth_gt25,36,072,56,J,3,1,0.0,0.12677899823476668,0.12268935313041937
ceiling_growth_gt25,36,069,56,Y,3,1,1.0,0.4115906771426305,0.4305716230412553
ceiling_growth_gt25,36,024,56,J,3,1,0.0,0.1315907579620891,0.12734589480202171
ceiling_growth_gt25,36,071,52,Y,2,1,1.0,0.3117425910186228,0.3339444429212478
ceiling_growth_gt25,36,097,61,T,4,1,0.0,0.12992733415525617,0.12573612982766727
ceiling_growth_gt25,36,019,54,Z,1,1,0.0,0.55579380521595,0.537864972789629
ceiling_growth_gt25,36,031,48,J,2,1,1.0,0.1524237641936218,0.17976493309060174
ceiling_growth_gt25,36,047,54,Z,4,1,1.0,0.3084579157525528,0.3307657249218253
