projectid,txturl
P045049,http://documents.worldbank.org/curated/en/200211468775824282/text/multi-page.txt
P045050,http://documents.worldbank.org/curated/en/642801468756299450/text/multi-page.txt
P045051,http://documents.worldbank.org/curated/en/217701468772799369/text/multi-page.txt
P045052,http://documents.worldbank.org/curated/en/586691468775768764/text/multi-page.txt
P045053,http://documents.worldbank.org/curated/en/653881468758084652/text/multi-page.txt
P045091,http://documents.worldbank.org/curated/en/837731468759911848/text/multi-page.txt
P045174,http://documents.worldbank.org/curated/en/228571468757172943/text/multi-page.txt
P045175,http://documents.worldbank.org/curated/en/411581468770945652/text/multi0page.txt
P045182,http://documents.worldbank.org/curated/en/894871468759892828/text/multi-page.txt
P045264,http://documents.worldbank.org/curated/en/510861468743123533/text/multi-page.txt
P045337,http://documents.worldbank.org/curated/en/182801468774924408/text/Indonesia-Kecamatan-Development-Project.txt
P045348,http://documents.worldbank.org/curated/en/458441468768848167/text/multi-page.txt
P045483,http://documents.worldbank.org/curated/en/583901468768013967/text/multi-page.txt
P045499,http://documents.worldbank.org/curated/en/104911468770713531/text/multi-page.txt
P045628,http://documents.worldbank.org/curated/en/982631468779138602/text/multi-page.txt
P045644,http://documents.worldbank.org/curated/en/518511468768544075/text/multi-page.txt
P045788,http://documents.worldbank.org/curated/en/135261468744008037/text/multi-page.txt
P045864,http://documents.worldbank.org/curated/en/165011468770682918/text/multi-page.txt
P045910,http://documents.worldbank.org/curated/en/353221468768868318/text/multi-page.txt
P045915,http://documents.worldbank.org/curated/en/720801468768838258/text/multi-page.txt
P046031,http://documents.worldbank.org/curated/en/904751468770418312/text/multi-page.txt
