column,dtype,non_null,distinct,known_at_board_approval,source,observed_values_if_few
icr_borrimplegency,str,2048,7,False,Projects API icr_ratings block (Bank self-rating),Highly Satisfactory; Highly Unsatisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Not Applicable; Substantial; Unsatisfactory
icr_borrimplegency__n_distinct,int64,4253,2,False,Projects API icr_ratings block (Bank self-rating),0; 1
icr_borroverall,str,2049,6,False,Projects API icr_ratings block (Bank self-rating),Highly Satisfactory; Highly Unsatisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Substantial; Unsatisfactory
icr_borroverall__n_distinct,int64,4253,2,False,Projects API icr_ratings block (Bank self-rating),0; 1
icr_completion_riskdo,str,2176,8,False,Projects API icr_ratings block (Bank self-rating),High; Highly Satisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Modest; Negligible; Substantial; Unsatisfactory
icr_completion_riskdo__n_distinct,int64,4253,6,False,Projects API icr_ratings block (Bank self-rating),0; 1; 2; 3; 4; 5
icr_outratingind,str,3692,6,False,Projects API icr_ratings block (Bank self-rating),Highly Satisfactory; Highly Unsatisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Substantial; Unsatisfactory
icr_outratingind__n_distinct,int64,4253,3,False,Projects API icr_ratings block (Bank self-rating),0; 1; 2
icr_overallrating,str,3689,5,False,Projects API icr_ratings block (Bank self-rating),Highly Satisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Substantial; Unsatisfactory
icr_overallrating__n_distinct,int64,4253,3,False,Projects API icr_ratings block (Bank self-rating),0; 1; 2
icr_value,str,3670,1765,False,Projects API icr_ratings block (Bank self-rating),
icr_value__n_distinct,int64,4253,3,False,Projects API icr_ratings block (Bank self-rating),0; 1; 2
icr__n_blocks_distinct,int64,4253,9,False,Projects API icr_ratings block (Bank self-rating),0; 1; 2; 3; 4; 5; 6; 7; 8
icr__n_blocks_raw,int64,4253,31,False,Projects API icr_ratings block (Bank self-rating),
iegapi_evaldate,str,4251,2243,False,Projects API ieg_ratings block,
iegapi_evaldate__n_distinct,int64,4253,3,False,Projects API ieg_ratings block,0; 1; 2
iegapi_borrowcompliance,str,3404,7,False,Projects API ieg_ratings block,Highly Satisfactory; Highly Unsatisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Not Rated; Satisfactory; Unsatisfactory
iegapi_borrowcompliance__n_distinct,int64,4253,3,False,Projects API ieg_ratings block,0; 1; 2
iegapi_icrquality,str,4248,7,False,Projects API ieg_ratings block,Exemplary; High; Modest; Not Rated; Satisfactory; Substantial; Unsatisfactory
iegapi_icrquality__n_distinct,int64,4253,3,False,Projects API ieg_ratings block,0; 1; 2
iegapi_mequality,str,4251,5,False,Projects API ieg_ratings block,High; Modest; Negligible; Not Rated; Substantial
iegapi_mequality__n_distinct,int64,4253,3,False,Projects API ieg_ratings block,0; 1; 2
